Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HWTestSuite2,Chrome 76.0.3809.100,,,2019-08-26 17:55:11,2019-08-26 17:56:59,1m - 47.522s,INCOMPLETE
,,,,,,,
Test Cases/Day1_Homework/HWTestCase2_manual,Chrome 76.0.3809.100,,,2019-08-26 17:55:12,2019-08-26 17:56:09,56.957s,PASSED
"openBrowser("""")",Chrome 76.0.3809.100,,,2019-08-26 17:55:12,2019-08-26 17:55:18,6.116s,PASSED
"navigateToUrl(""https://www.allrecipes.com"")",Chrome 76.0.3809.100,,,2019-08-26 17:55:18,2019-08-26 17:55:23,4.502s,PASSED
"click(findTestObject(""Page_Allrecipes  Food friends and recipe inspiration/div_img-profile-userhead-dims""))",Chrome 76.0.3809.100,,,2019-08-26 17:55:23,2019-08-26 17:55:35,12.331s,PASSED
"click(findTestObject(""Page_Allrecipes - Authentication Welcome/span_Sign in""))",Chrome 76.0.3809.100,,,2019-08-26 17:55:35,2019-08-26 17:55:37,1.909s,PASSED
"setText(findTestObject(""Page_Allrecipes - Signin/input_Existing Allrecipes users_txtUserNameOrEmail""), ""romilovesvball@hotmail.com"")",Chrome 76.0.3809.100,,,2019-08-26 17:55:37,2019-08-26 17:55:38,0.480s,PASSED
"setEncryptedText(findTestObject(""Page_Allrecipes - Signin/input_Existing Allrecipes users_password""), ""CEPYRHojllAQGKkyi7TA0g=="")",Chrome 76.0.3809.100,,,2019-08-26 17:55:38,2019-08-26 17:55:38,0.378s,PASSED
"click(findTestObject(""Page_Allrecipes - Signin/input_Forgot password_submitLogInForm""))",Chrome 76.0.3809.100,,,2019-08-26 17:55:38,2019-08-26 17:55:44,6.338s,PASSED
"setText(findTestObject(""Page_Allrecipes  Food friends and recipe inspiration/input_BROWSE_searchText""), ""mac 'n' cheese"")",Chrome 76.0.3809.100,,,2019-08-26 17:55:44,2019-08-26 17:55:48,3.218s,PASSED
"click(findTestObject(""Page_Allrecipes - Authentication Welcome/span_BROWSE-search-magnify-dims""))",Chrome 76.0.3809.100,,,2019-08-26 17:55:48,2019-08-26 17:55:53,5.911s,PASSED
"click(findTestObject(""Page_Search - Allrecipescom/span_romilovesvball""))",Chrome 76.0.3809.100,,,2019-08-26 17:55:53,2019-08-26 17:56:00,6.526s,PASSED
"click(findTestObject(""Page_Search - Allrecipescom/button_Sign out""))",Chrome 76.0.3809.100,,,2019-08-26 17:56:00,2019-08-26 17:56:08,7.654s,PASSED
closeBrowser(),Chrome 76.0.3809.100,,,2019-08-26 17:56:08,2019-08-26 17:56:09,1.072s,PASSED
,,,,,,,
Test Cases/Day1_Homework/HWTestCase3_script,Chrome 76.0.3809.100,,,2019-08-26 17:56:09,2019-08-26 17:56:59,50.056s,PASSED
"openBrowser("""")",Chrome 76.0.3809.100,,,2019-08-26 17:56:09,2019-08-26 17:56:12,3.096s,PASSED
"navigateToUrl(""https://www.allrecipes.com"")",Chrome 76.0.3809.100,,,2019-08-26 17:56:12,2019-08-26 17:56:32,19.982s,PASSED
"click(findTestObject(""Page_Allrecipes  Food friends and recipe inspiration/div_img-profile-userhead-dims""))",Chrome 76.0.3809.100,,,2019-08-26 17:56:32,2019-08-26 17:56:35,3.215s,PASSED
"click(findTestObject(""Object Repository/Page_Allrecipes - Authentication Welcome/span_Sign in""))",Chrome 76.0.3809.100,,,2019-08-26 17:56:35,2019-08-26 17:56:37,2.123s,PASSED
"setText(findTestObject(""Page_Allrecipes - Signin/input_Existing Allrecipes users_txtUserNameOrEmail""), ""romilovesvball@hotmail.com"")",Chrome 76.0.3809.100,,,2019-08-26 17:56:37,2019-08-26 17:56:38,0.441s,PASSED
"setEncryptedText(findTestObject(""Page_Allrecipes - Signin/input_Existing Allrecipes users_password""), ""CEPYRHojllAQGKkyi7TA0g=="")",Chrome 76.0.3809.100,,,2019-08-26 17:56:38,2019-08-26 17:56:38,0.310s,PASSED
"click(findTestObject(""Page_Allrecipes - Signin/input_Forgot password_submitLogInForm""))",Chrome 76.0.3809.100,,,2019-08-26 17:56:38,2019-08-26 17:56:45,6.734s,PASSED
"setText(findTestObject(""Page_Allrecipes  Food friends and recipe inspiration/input_BROWSE_searchText""), ""guacamole"")",Chrome 76.0.3809.100,,,2019-08-26 17:56:45,2019-08-26 17:56:51,5.994s,PASSED
"click(findTestObject(""Page_Allrecipes - Authentication Welcome/span_BROWSE-search-magnify-dims""))",Chrome 76.0.3809.100,,,2019-08-26 17:56:51,2019-08-26 17:56:57,6.244s,PASSED
"click(findTestObject(""Object Repository/Page_Search - Allrecipescom/span_romilovesvball""))",Chrome 76.0.3809.100,,,2019-08-26 17:56:57,2019-08-26 17:56:58,0.517s,PASSED
closeBrowser(),Chrome 76.0.3809.100,,,2019-08-26 17:56:58,2019-08-26 17:56:59,1.027s,PASSED
