Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
HWTestSuite1,Chrome 76.0.3809.100,,,2019-08-26 18:08:11,2019-08-26 18:14:02,5m - 51.342s,INCOMPLETE
,,,,,,,
Test Cases/Day1_Homework/HWTestCase1_record,Chrome 76.0.3809.100,,,2019-08-26 18:08:12,2019-08-26 18:14:02,5m - 50.396s,PASSED
"openBrowser("""")",Chrome 76.0.3809.100,,,2019-08-26 18:08:14,2019-08-26 18:08:26,12.594s,PASSED
"navigateToUrl(""https://www.allrecipes.com/"")",Chrome 76.0.3809.100,,,2019-08-26 18:08:26,2019-08-26 18:10:55,2m - 28.501s,PASSED
"click(findTestObject(""Page_Allrecipes  Food friends and recipe inspiration/div_img-profile-userhead-dims""))",Chrome 76.0.3809.100,,,2019-08-26 18:10:55,2019-08-26 18:11:06,11.610s,PASSED
"click(findTestObject(""Page_Allrecipes - Authentication Welcome/span_Sign in""))",Chrome 76.0.3809.100,,,2019-08-26 18:11:06,2019-08-26 18:11:13,6.525s,PASSED
"setText(findTestObject(""Page_Allrecipes - Signin/input_Existing Allrecipes users_txtUserNameOrEmail""), ""romilovesvball@hotmail.com"")",Chrome 76.0.3809.100,,,2019-08-26 18:11:13,2019-08-26 18:11:15,1.886s,PASSED
"setEncryptedText(findTestObject(""Page_Allrecipes - Signin/input_Existing Allrecipes users_password""), ""CEPYRHojllAQGKkyi7TA0g=="")",Chrome 76.0.3809.100,,,2019-08-26 18:11:15,2019-08-26 18:11:16,1.143s,PASSED
"click(findTestObject(""Page_Allrecipes - Signin/input_Forgot password_submitLogInForm""))",Chrome 76.0.3809.100,,,2019-08-26 18:11:16,2019-08-26 18:12:09,52.817s,PASSED
"setText(findTestObject(""Page_Allrecipes  Food friends and recipe inspiration/input_BROWSE_searchText""), ""meatballs"")",Chrome 76.0.3809.100,,,2019-08-26 18:12:09,2019-08-26 18:12:24,14.962s,PASSED
"click(findTestObject(""Page_Allrecipes - Authentication Welcome/span_BROWSE-search-magnify-dims""))",Chrome 76.0.3809.100,,,2019-08-26 18:12:24,2019-08-26 18:13:10,46.728s,PASSED
"click(findTestObject(""Object Repository/Page_Search - Allrecipescom/span_romilovesvball""))",Chrome 76.0.3809.100,,,2019-08-26 18:13:10,2019-08-26 18:13:11,1.024s,PASSED
"click(findTestObject(""Page_Search - Allrecipescom/button_Sign out""))",Chrome 76.0.3809.100,,,2019-08-26 18:13:11,2019-08-26 18:14:01,49.219s,PASSED
closeBrowser(),Chrome 76.0.3809.100,,,2019-08-26 18:14:01,2019-08-26 18:14:02,1.775s,PASSED
